location;date;total_cases_per_million;new_cases_per_million;total_deaths_per_million;new_deaths_per_million;cardiovasc_death_rate;hospital_beds_per_thousand;life_expectancy;human_development_index
Bolivia;11/03/2020;0.171;0.171;;;204.299;1.1;71.51;0.718
Bolivia;12/03/2020;0.171;0;;;204.299;1.1;71.51;0.718
Bolivia;13/03/2020;0.257;0.086;;;204.299;1.1;71.51;0.718
Bolivia;14/03/2020;0.857;0.6;;;204.299;1.1;71.51;0.718
Bolivia;15/03/2020;0.857;0;;;204.299;1.1;71.51;0.718
Bolivia;16/03/2020;0.942;0.086;;;204.299;1.1;71.51;0.718
Bolivia;17/03/2020;0.942;0;;;204.299;1.1;71.51;0.718
Bolivia;18/03/2020;1.028;0.086;;;204.299;1.1;71.51;0.718
Bolivia;19/03/2020;1.028;0;;;204.299;1.1;71.51;0.718
Bolivia;20/03/2020;1.285;0.257;;;204.299;1.1;71.51;0.718
Bolivia;21/03/2020;1.628;0.343;;;204.299;1.1;71.51;0.718
Bolivia;22/03/2020;2.056;0.428;;;204.299;1.1;71.51;0.718
Bolivia;23/03/2020;2.313;0.257;;;204.299;1.1;71.51;0.718
Bolivia;24/03/2020;2.484;0.171;;;204.299;1.1;71.51;0.718
Bolivia;25/03/2020;2.741;0.257;;;204.299;1.1;71.51;0.718
Bolivia;26/03/2020;3.684;0.942;;;204.299;1.1;71.51;0.718
Bolivia;27/03/2020;5.226;1.542;;;204.299;1.1;71.51;0.718
Bolivia;28/03/2020;6.339;1.114;;;204.299;1.1;71.51;0.718
Bolivia;29/03/2020;6.939;0.6;0.086;0.086;204.299;1.1;71.51;0.718
Bolivia;30/03/2020;8.31;1.371;0.343;0.257;204.299;1.1;71.51;0.718
Bolivia;31/03/2020;9.166;0.857;0.514;0.171;204.299;1.1;71.51;0.718
Bolivia;01/04/2020;9.852;0.685;0.6;0.086;204.299;1.1;71.51;0.718
Bolivia;02/04/2020;10.537;0.685;0.685;0.086;204.299;1.1;71.51;0.718
Bolivia;03/04/2020;11.308;0.771;0.771;0.086;204.299;1.1;71.51;0.718
Bolivia;04/04/2020;11.908;0.6;0.857;0.086;204.299;1.1;71.51;0.718
Bolivia;05/04/2020;13.45;1.542;0.857;0;204.299;1.1;71.51;0.718
Bolivia;06/04/2020;15.677;2.227;0.942;0.086;204.299;1.1;71.51;0.718
Bolivia;07/04/2020;16.62;0.942;1.199;0.257;204.299;1.1;71.51;0.718
Bolivia;08/04/2020;17.99;1.371;1.285;0.086;204.299;1.1;71.51;0.718
Bolivia;09/04/2020;22.616;4.626;1.542;0.257;204.299;1.1;71.51;0.718
Bolivia;10/04/2020;22.959;0.343;1.628;0.086;204.299;1.1;71.51;0.718
